field,total,spread,crop,grid_size,sigma,masking,height,width,drone_type,rate_kg,rate_area,field_area,area_unit,경작자
충청남도 당진시 대호지면 사성리 475-7,,1,rice,1,,0.5,3,5,DJI,20,500,1463.8,평,
충청남도 당진시 대호지면 사성리 624,60,1,rice,1,,0.5,3,5,DJI,,,1678.9,평,
충청남도 당진시 대호지면 사성리 687-1,,1,rice,1,,0.5,3,5,DJI,20,500,2799.2,평,
충청남도 당진시 대호지면 적서리 630-1,,1,rice,1,,0.5,3,5,DJI,20,500,2946.5,평,
